,id_discente,sexo,data_nascimento,raca,estado_origem,cidade_origem,estado,municipio,bairro,nivel_ensino,forma_ingresso,ano_ingresso,periodo_ingresso,cotista,id_curso
4869,52e567da9dc48df1c9c4cca1d3857a71,M,22_10_1995,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_PARNAMIRIM,GRADUACAO,SISU,2013,1.0,F,92127264.0
4895,d624069cd2691821d497421eae79b0bc,M,03_03_1986,BRANCO,DISTRITO_FEDERAL,BRASILIA,RIO_GRANDE_DO_NORTE,MACAIBA,ALFREDO_MESQUITA,GRADUACAO,SISU,2013,1.0,T,92127264.0
4912,7748675c91aa116cbfacfa0d0493889c,M,17_10_1992,BRANCO,RIO_DE_JANEIRO,RIO_DE_JANEIRO,RIO_GRANDE_DO_NORTE,NATAL,CIDADE_DA_ESPERANCA,GRADUACAO,SISU,2013,1.0,F,92127264.0
4929,46ca5bcc0383d2734d26bf3bcc201b5a,M,16_01_1992,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PLANALTO,GRADUACAO,SISU,2013,1.0,F,92127264.0
4943,4d88bb0bbddd03e881b62619fb19ebd2,M,13_02_1975,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,NOVA_DESCOBERTA,GRADUACAO,SISU,2013,1.0,F,92127264.0
4959,3e2668d59d4a1ba834d09c2d5baea407,M,26_08_1993,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,EMAUS,GRADUACAO,SISU,2013,1.0,F,92127264.0
4976,10c746fb58f85a7e3772b47e7eb6e6e4,M,13_06_1976,PARDO,BAHIA,FEIRA_DE_SANTANA,RIO_GRANDE_DO_NORTE,PARNAMIRIM,EMAUS,GRADUACAO,SISU,2013,1.0,F,92127264.0
4990,a21b374f614d7f896dd4627ebc5a37e5,F,05_06_1984,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,IGAPO,GRADUACAO,SISU,2013,1.0,F,92127264.0
5000,f23e5fa8c16da3a0b77a4ed738182750,F,05_12_1994,BRANCO,PERNAMBUCO,RECIFE,RIO_GRANDE_DO_NORTE,NATAL,NOSSA_SENHORA_DA_APRESENTACAO,GRADUACAO,SISU,2013,1.0,F,92127264.0
5017,a03bcf3b5737f3b0a9c872e14bdf0d45,M,10_09_1994,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,TIROL,GRADUACAO,SISU,2013,1.0,F,92127264.0
5034,768519e21c9db3641c7c0d26e55d5574,F,25_12_1979,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PITIMBU,GRADUACAO,SISU,2013,1.0,F,92127264.0
5051,990a6d5b8c374d5302e2716f022cf495,M,20_09_1985,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PITIMBU,GRADUACAO,SISU,2013,1.0,F,92127264.0
5066,41c22515660e745b59fb45bfa510dd34,M,24_07_1993,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,POTENGI,GRADUACAO,VESTIBULAR,2013,1.0,F,92127264.0
5083,876c9810d6f4b25797d73c942f55764e,M,26_03_1993,BRANCO,RIO_GRANDE_DO_NORTE,CURRAIS_NOVOS,RIO_GRANDE_DO_NORTE,NATAL,IGAPO,GRADUACAO,SISU,2013,1.0,F,92127264.0
5100,0bdbd8f0aca50f48b9add30d6a9afa6a,M,21_01_1993,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,REGOMOLEIRO_3,GRADUACAO,SISU,2013,1.0,F,92127264.0
