"discente","sexo","nota_final","cotista","cep","descricao"
"29636335427cc1d4e24c6d923972eea0","F",689.1200,f,"59000-000","GRADUAÇÃO"
"448d4731f541b98c8301c0188a2fa722","M",646.2100,f,"59000-000","GRADUAÇÃO"
"3996f2b80baa632b7b164961aea1651a","F",4.6000,f,"59000-000","GRADUAÇÃO"
"84b5c3c444ab3c642ab748362f505c06","F",580.3600,t,"59000-000","GRADUAÇÃO"
"15ed6fe73a6ca7d523822031c1de4da5","F",707.6700,t,"59000-000","GRADUAÇÃO"
"eedd1cedb75553b9757e8802593a0856","M",667.8600,f,"59000-000","GRADUAÇÃO"
"44bddbb4e81a2f1a1b8e431c3838ee76","M",601.4500,f,"59000-000","GRADUAÇÃO"
"f4ab424c22f6731cd35fc4db1ed0402c","M",517.4300,f,"59000-000","GRADUAÇÃO"
"cc4248c8cde714ea37ef56e567a30316","F",4.8000,f,"59000-000","GRADUAÇÃO"
"15e2379ea00ab7510200104d29eaea0e","M",6.8000,f,"59000-000","GRADUAÇÃO"
"23bd46729bf2d13761fd9d1f2410d97a","F",459.5700,f,"59000-000","GRADUAÇÃO"
"23d4aea73c14f0570a9fef738397c80b","M",553.7600,t,"59000-000","GRADUAÇÃO"
"7cc399b40c38ef7d49f5075da3213799","M",616.8800,f,"59000-000","GRADUAÇÃO"
"ed3c50d4d0be4af1460a077d7039449d","F",613.6200,f,"59000-000","GRADUAÇÃO"
"9c9963e0d3dcd19f54d5938283f8bb99","F",588.0900,t,"59000-000","GRADUAÇÃO"
"20094248e1746bce74c451fdea656de1","M",654.9600,f,"59000-000","GRADUAÇÃO"
"20094248e1746bce74c451fdea656de1","M",654.9600,f,"59000-000","GRADUAÇÃO"
"eef82834ad85a0ea4fe247bf6d70a50a","F",479.1400,f,"59000-000","GRADUAÇÃO"
"f05b23cb11dddfee2a7630e65f92d52b","M",670.6900,f,"59000-000","GRADUAÇÃO"
"f05b23cb11dddfee2a7630e65f92d52b","M",670.6900,f,"59000-000","GRADUAÇÃO"
"95dbf5db69d4eef65f69535c57c79e69","M",628.2600,f,"59000-000","GRADUAÇÃO"
"a67778af9420add40fa055de68784562","F",701.4700,f,"59000-000","GRADUAÇÃO"
"8fdaa40088e22f12d304bf3f94a67e4f","M",654.8000,t,"59000-000","GRADUAÇÃO"
"0122a2eb759926a6e768c939947b3e8e","F",6.0700,f,"59000-000","GRADUAÇÃO"
"ce6366c84af76c83cb42b159215bb689","M",628.4900,f,"59000-000","GRADUAÇÃO"
"11efba29f5a9a64ef3562e8feac73bee","M",431.5000,f,"59000-000","GRADUAÇÃO"
"","F",519.4100,t,"59000-000","GRADUAÇÃO"
"784bb5f262cf76ab0832da717c7089fe","F",664.0900,f,"59000-000","GRADUAÇÃO"
"784bb5f262cf76ab0832da717c7089fe","F",664.0900,f,"59000-000","GRADUAÇÃO"
"c5e445441dc9cc1d69f6e70040daf973","F",509.5200,t,"59000-000","GRADUAÇÃO"
"56fbdf3030acf2b3a39ee4f6de0d7f61","M",630.7900,t,"59000-000","GRADUAÇÃO"
"697ba669b97193b43f383fd7cc5dcf68","F",728.4100,f,"59000-000","GRADUAÇÃO"
"7a1a3b18eaa37933f0df2cdb9c26a444","F",654.8300,t,"59000-000","GRADUAÇÃO"
"931617d7fd246f8ee5aebb8b5d3146ea","F",730.6600,t,"59000-000","GRADUAÇÃO"
"6ac8fb3d2c2ebac9720b005d81135844","F",586.4200,t,"59000-000","GRADUAÇÃO"
"c0466fbb8b0d1c20b485c4627e1c4bb9","F",574.5400,t,"59000-000","GRADUAÇÃO"
"6ac2bc2beb83bd7e97ddd71ff4916647","F",607.4900,t,"59000-000","GRADUAÇÃO"
"43ecce3ecd9c018090fe9cc2045d2c5b","M",5.4800,f,"59000-000","GRADUAÇÃO"
"26593682d942e8c3863ce6553fe304f7","M",617.2600,t,"59000-000","GRADUAÇÃO"
"8d8433580e57ff6b80f89528248b5aae","F",700.8300,f,"59000-000","GRADUAÇÃO"
"2e552a2e756885d929954c525266a649","M",692.8700,t,"59000-000","GRADUAÇÃO"
"fcf444548db95530dba1f4721f086fec","M",648.0800,t,"59000-000","GRADUAÇÃO"
"5a8bcf11e1b860d692cf06046e4716fd","M",619.2700,f,"59000-000","GRADUAÇÃO"
"62578403320e357d82020736e3a2210f","M",6.8300,f,"59000-000","GRADUAÇÃO"
"8b76330971fec5f5808c2360418ca28e","M",627.6400,f,"59000-000","GRADUAÇÃO"
"9f690e32d6d076c1e7077927759d1547","F",699.6300,f,"59000-000","GRADUAÇÃO"
"aedb6522b6348529de55a5bc152adef5","M",584.1500,t,"59000-000","GRADUAÇÃO"
"","M",602.2900,t,"59000-000","GRADUAÇÃO"
"13bf8830fea27dfce5a65c51c8e7f9a0","M",602.1900,t,"59000-000","GRADUAÇÃO"
"814865e45109f44e8489685f5d6eeb96","F",626.8700,f,"59000-000","GRADUAÇÃO"
"2e5bb4b8e0fdc0ba8870724d3d697d31","M",6.5000,f,"59000-000","GRADUAÇÃO"
"8e9a4d7ab9c5f3f6ce46d12e4cb0a033","M",687.1200,f,"59000-000","GRADUAÇÃO"
"2b8ace963345f52dc90df1fe47541bdc","M",555.9800,f,"59000-000","GRADUAÇÃO"
"96bca1053b14b955c735805a19ab031c","F",816.6300,f,"59000-000","GRADUAÇÃO"
"9ef782c128d9bc871cc45b51c5f2edd4","M",7.4300,f,"59000-000","GRADUAÇÃO"
"9389b5df9c98abaea4ef40e1235ba615","F",545.1700,f,"59000-000","GRADUAÇÃO"
"da15890a48d993f2add9f72211eef0e5","F",812.7100,f,"59000-000","GRADUAÇÃO"
"0ee555d7e3c11f9bdddb91fc5de5df68","F",748.4600,t,"59000-000","GRADUAÇÃO"
"6f5b5afb8a1b82e4ae58acf38d73f59a","F",574.1200,t,"59000-000","GRADUAÇÃO"
"13925d3684cf5e1137548a591428af22","F",775.3600,f,"59000-000","GRADUAÇÃO"
"4bbc6ac3520900066603f9c14617780b","M",583.1500,t,"59000-000","GRADUAÇÃO"
"4bbc6ac3520900066603f9c14617780b","M",583.1500,t,"59000-000","GRADUAÇÃO"
"","F",624.7100,f,"59000-000","GRADUAÇÃO"
"0129b9f0616ae284a2a3ee6126876a28","F",590.5900,t,"59000-000","GRADUAÇÃO"
"0129b9f0616ae284a2a3ee6126876a28","F",590.5900,t,"59000-000","GRADUAÇÃO"
"6b044588d4b7de09c6f463af391f6df1","F",682.0200,t,"59000-000","GRADUAÇÃO"
"87936362e6306a097c5816394ccf704b","M",617.7800,t,"59000-000","GRADUAÇÃO"
